ID,Plot,Replicate,Bird Number,Period,Minute,Species,Sex,Detection Method,Distance,New Record,Counter-sing,Site,DateC,TimeC
1216,3,2,29,2,6,BLJA,U,C,2,1,0,Spotted Hardwood,23-Jun-10,5:03
5883,3,2,29,3,9,BCCH,M,S,2,0,0,Spotted Hardwood,16-Jun-12,5:46
826,3,2,29,3,9,BCCH,M,S,2,0,0,Stuart Lake,18-Jun-10,6:32
3585,3,2,29,3,7,NOPA,M,S,2,0,0,Stuart Lake,17-Jun-11,7:24
5781,3,2,29,3,6,REVI,M,S,1,0,1,Stuart Lake,16-Jun-12,7:08
7335,3,2,30,3,8,AMRO,U,C,2,0,0,Beaver Basin,22-Jun-12,6:48
1217,3,2,30,2,6,VEER,M,S,1,0,0,Spotted Hardwood,23-Jun-10,5:03
5884,3,2,30,3,9,AMGO,U,C,2,0,0,Spotted Hardwood,16-Jun-12,5:46
827,3,2,30,3,9,LEFL,M,S,1,0,0,Stuart Lake,18-Jun-10,6:32
3586,3,2,30,3,7,PUFI,M,S,2,0,0,Stuart Lake,17-Jun-11,7:24
5782,3,2,30,3,6,RBGR,M,S,2,0,0,Stuart Lake,16-Jun-12,7:08
7336,3,2,31,3,9,RBNU,U,C,2,1,0,Beaver Basin,22-Jun-12,6:48
1218,3,2,31,2,6,REVI,M,S,1,0,1,Spotted Hardwood,23-Jun-10,5:03
3587,3,2,31,3,8,AMRO,U,C,1,0,0,Stuart Lake,17-Jun-11,7:24
5783,3,2,31,3,7,HETH,M,S,2,0,0,Stuart Lake,16-Jun-12,7:08
7337,3,2,32,3,9,HAWO,U,C,2,0,0,Beaver Basin,22-Jun-12,6:48
1219,3,2,32,2,6,REVI,M,S,1,0,1,Spotted Hardwood,23-Jun-10,5:03
3588,3,2,32,3,8,SCTA,U,C,2,1,0,Stuart Lake,17-Jun-11,7:24
5784,3,2,32,3,7,CHSW,U,C,1,0,0,Stuart Lake,16-Jun-12,7:08
7338,3,2,33,3,9,RESQ,U,C,1,1,0,Beaver Basin,22-Jun-12,6:48
1220,3,2,33,2,6,REVI,M,S,2,0,1,Spotted Hardwood,23-Jun-10,5:03
3589,3,2,33,3,8,BTBW,M,S,2,0,0,Stuart Lake,17-Jun-11,7:24
5785,3,2,33,3,7,AMRO,M,S,2,0,0,Stuart Lake,16-Jun-12,7:08
7339,3,2,34,3,10,CORA,U,C,2,1,0,Beaver Basin,22-Jun-12,6:48
1221,3,2,34,2,6,REVI,M,S,2,0,1,Spotted Hardwood,23-Jun-10,5:03
3590,3,2,34,3,9,AMRO,M,S,2,0,0,Stuart Lake,17-Jun-11,7:24
5786,3,2,34,3,8,AMRE,M,S,1,0,0,Stuart Lake,16-Jun-12,7:08
1222,3,2,35,2,6,LEFL,M,S,1,0,0,Spotted Hardwood,23-Jun-10,5:03
3591,3,2,35,3,9,OVEN,M,S,2,0,0,Stuart Lake,17-Jun-11,7:24
5787,3,2,35,3,8,WWCR,U,C,1,0,0,Stuart Lake,16-Jun-12,7:08
1223,3,2,36,3,7,AMRO,U,C,1,0,0,Spotted Hardwood,23-Jun-10,5:03
3592,3,2,36,3,10,AMRE,M,S,2,0,0,Stuart Lake,17-Jun-11,7:24
5788,3,2,36,3,8,WWCR,U,C,1,0,0,Stuart Lake,16-Jun-12,7:08
1224,3,2,37,3,7,AMRE,U,C,1,0,0,Spotted Hardwood,23-Jun-10,5:03
3593,3,2,37,3,10,BTNW,M,S,2,0,0,Stuart Lake,17-Jun-11,7:24
5789,3,2,37,3,8,YBSA,U,C,2,0,0,Stuart Lake,16-Jun-12,7:08
1225,3,2,38,3,7,HETH,M,S,1,0,0,Spotted Hardwood,23-Jun-10,5:03
5790,3,2,38,3,9,REVI,M,S,2,0,1,Stuart Lake,16-Jun-12,7:08
1226,3,2,39,3,8,YBSA,U,C,1,0,0,Spotted Hardwood,23-Jun-10,5:03
5791,3,2,39,3,9,OVEN,M,S,2,0,1,Stuart Lake,16-Jun-12,7:08
1227,3,2,40,3,8,YBSA,M,O,1,0,0,Spotted Hardwood,23-Jun-10,5:03
5792,3,2,40,3,10,AMGO,M,S,1,0,0,Stuart Lake,16-Jun-12,7:08
1228,3,2,41,3,9,NOPA,M,S,1,1,0,Spotted Hardwood,23-Jun-10,5:03
